COG3562	M
COG3363	F
COG3731	G
COG3730	G
COG3733	Q
COG3638	P
COG3735	S
COG3734	G
COG3737	S
COG3248	M
COG3790	S
COG3563	M
COG5388	S
COG5389	S
COG3709	G
COG3639	P
COG5380	O
COG5381	S
COG5386	P
COG5387	O
COG4821	R
COG5385	S
COG4398	T
COG4399	S
COG0428	P
COG0429	R
COG0398	S
COG0399	M
COG0424	Q
COG0425	O
COG0426	C
COG0427	C
COG0420	L
COG0421	E
COG0422	H
COG0423	J
COG3605	T
COG3361	S
COG3607	R
COG3601	H
COG3600	X
COG3603	S
COG3602	S
COG4555	CP
COG3609	K
COG3608	R
COG4552	R
COG4553	I
COG3366	S
COG2738	O
COG2739	K
COG2732	K
COG2733	S
COG2730	G
COG2731	G
COG5016	C
COG3365	S
COG1269	C
COG1268	H
COG5017	G
COG1264	G
COG1267	I
COG1266	O
COG1261	N
COG1260	I
COG1263	G
COG1262	O
COG0648	L
COG0649	C
COG4084	CO
COG4085	A
COG3360	R
COG1069	G
COG4081	S
COG1067	O
COG1009	CP
COG0642	T
COG1064	G
COG1063	ER
COG1062	R
COG1061	KL
COG1008	C
COG1559	D
COG2520	J
COG2390	K
COG1558	N
COG1463	M
COG1462	M
COG1461	R
COG1460	K
COG1467	L
COG1466	L
COG1465	E
COG1464	P
COG3519	U
COG3518	U
COG1469	H
COG1468	V
COG1555	L
COG4485	S
COG1554	G
COG5505	S
COG1553	P
COG1552	J
COG5562	S
COG5563	S
COG1609	K
COG1608	I
COG5566	K
COG1003	E
COG5564	S
COG5565	X
COG1603	J
COG1602	S
COG1601	J
COG0539	J
COG1607	I
COG1606	R
COG1605	E
COG1604	V
COG4172	Q
COG4226	R
COG4170	V
COG4171	V
COG4176	E
COG4177	E
COG4174	Q
COG4175	E
COG4178	R
COG5503	KV
COG5368	S
COG2866	M
COG2867	J
COG2864	C
COG2865	K
COG2862	S
COG2863	C
COG2860	S
COG2861	G
COG5626	S
COG4389	L
COG4378	S
COG4379	X
COG2868	S
COG2869	C
COG0439	I
COG0438	M
COG1117	P
